Book Id  ,Title                                                                                                      ,Author                   ,Author l-f                  ,Additional Authors                                                                                                                                                                                                                                                          ,ISBN              ,ISBN13               ,My Rating ,Average Rating ,Publisher                                   ,Binding               ,Number of Pages ,Year Published ,Original Publication Year ,Date Read  ,Date Added ,Bookshelves       ,Bookshelves with positions ,Exclusive Shelf   ,My Review                                                                                                                                                                                                                                                                                                            ,Spoiler ,Private Notes ,Read Count ,Owned Copies ,PublishedDate ,PageCount ,Categories                              ,AverageRating ,RatingsCount ,Description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,ImageURL
32855119 ,"Die Eule von Askir (Das Geheimnis von Askir, #6)"                                                         ,Richard Schwartz         ,"Schwartz, Richard"         ,                                                                                                                                                                                                                                                                            ,9783492975063     ,"="""""              ,        4 ,          4.43 ,Piper ebooks                                ,Kindle Edition        ,          688.0 ,        2016.0 ,                   2009.0 ,           ,2017/05/06 ,                  ,                           ,read              ,                                                                                                                                                                                                                                                                                                                     ,        ,              ,         1 ,           0 ,2016-11-02    ,      688 ,Fiction                                 ,              ,             ,"Endlich liegt die Saga um ""Die Eule von Askir"" in der ursprünglichen Fassung vor, wie der Autor sie erdacht hatte. In der umfassenden und ungekürzten Form können alle Richard-Schwartz-Fans das Abenteuer ganz neu erleben: Am Hafen der altehrwürdigen Stadt Askir wird ein bestialisch zugerichteter Toter gefunden. Es ist der Botschaftsdiener Jenks, der in diesem zwielichtigen Viertel eigentlich nichts zu suchen hatte. Stabsleutnant Santer wird mit den Ermittlungen betraut, unterstützt durch die faszinierende Magierin Desina. Diese hat die Gabe, die Vergangenheit vor ihren Augen neu erstehen zu lassen. Doch was Desina in der Nacht des Mordes erblickt, bedeutet für ganz Askir eine unberechenbare Bedrohung. Denn der Feind beherrscht schwarze Magie, gegen die alle Mittel Desinas machtlos sind."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,http://books.google.com/books/content?id=Q6cjDAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
   61907 ,Der Kadett                                                                                                 ,Lois McMaster Bujold     ,"Bujold, Lois McMaster"     ,Edda Petri                                                                                                                                                                                                                                                                  ,3453149076        ,"=""9783453149076""" ,        5 ,          4.27 ,                                            ,Paperback             ,          380.0 ,        1999.0 ,                   1986.0 ,1996/05/09 ,2015/05/09 ,                  ,                           ,read              ,                                                                                                                                                                                                                                                                                                                     ,        ,              ,         1 ,           0 ,1999          ,      380 ,                                        ,              ,             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,
 2180460 ,Cordelias Ehre                                                                                             ,Lois McMaster Bujold     ,"Bujold, Lois McMaster"     ,Michael Morgental                                                                                                                                                                                                                                                           ,3453520017        ,"=""9783453520011""" ,        3 ,          4.33 ,                                            ,Mass Market Paperback ,          592.0 ,        2004.0 ,                   1996.0 ,1996/05/09 ,2015/05/09 ,                  ,                           ,read              ,                                                                                                                                                                                                                                                                                                                     ,        ,              ,         1 ,           0 ,2004          ,      592 ,                                        ,              ,             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,http://books.google.com/books/content?id=q56rAAAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
   61905 ,"Barrayar (Vorkosigan Saga, #7)"                                                                           ,Lois McMaster Bujold     ,"Bujold, Lois McMaster"     ,                                                                                                                                                                                                                                                                            ,                  ,"=""9780743468411""" ,        3 ,          4.29 ,                                            ,Paperback             ,          336.0 ,        2003.0 ,                   1991.0 ,1996/05/09 ,2015/05/09 ,                  ,                           ,read              ,                                                                                                                                                                                                                                                                                                                     ,        ,              ,         1 ,           0 ,              ,          ,                                        ,              ,             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,
 3006201 ,Barrayar: Der Botschafter                                                                                  ,Lois McMaster Bujold     ,"Bujold, Lois McMaster"     ,                                                                                                                                                                                                                                                                            ,3453521277        ,"=""9783453521278""" ,        3 ,          4.52 ,                                            ,Paperback             ,          959.0 ,        2006.0 ,                   2008.0 ,1996/05/09 ,2015/05/09 ,                  ,                           ,read              ,                                                                                                                                                                                                                                                                                                                     ,        ,              ,         1 ,           0 ,2006          ,      959 ,                                        ,              ,             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,http://books.google.com/books/content?id=ghxHPgAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
15831078 ,"Scherben der Ehre (Barrayar-Zyklus, #1)"                                                                  ,Lois McMaster Bujold     ,"Bujold, Lois McMaster"     ,Michael Morgental                                                                                                                                                                                                                                                           ,                  ,"=""9783453128101""" ,        2 ,          4.08 ,                                            ,Paperback             ,          335.0 ,        1997.0 ,                   1986.0 ,1996/05/09 ,2015/05/09 ,                  ,                           ,read              ,                                                                                                                                                                                                                                                                                                                     ,        ,              ,         1 ,           0 ,              ,          ,                                        ,              ,             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,
13536649 ,"Trapped (The Iron Druid Chronicles, #5)"                                                                  ,Kevin Hearne             ,"Hearne, Kevin"             ,                                                                                                                                                                                                                                                                            ,9780345535627     ,"=""9780345533647""" ,        0 ,          4.27 ,Del Rey                                     ,Mass Market Paperback ,          290.0 ,        2012.0 ,                   2012.0 ,           ,2023/08/19 ,to-read           ,to-read (#140)             ,to-read           ,                                                                                                                                                                                                                                                                                                                     ,        ,              ,         0 ,           0 ,2012-11-27    ,      320 ,Fiction                                 ,              ,             ,"After twelve years of secret training, Atticus O’Sullivan is finally ready to bind his apprentice, Granuaile, to the earth and double the number of Druids in the world. But on the eve of the ritual, the world that thought he was dead abruptly discovers that he’s still alive, and they would much rather he return to the grave. Having no other choice, Atticus, his trusted Irish wolfhound, Oberon, and Granuaile travel to the base of Mount Olympus, where the Roman god Bacchus is anxious to take his sworn revenge—but he’ll have to get in line behind an ancient vampire, a band of dark elves, and an old god of mischief, who all seem to have KILL THE DRUID at the top of their to-do lists. Don’t miss any of Kevin Hearne’s phenomenal Iron Druid Chronicles novels: HOUNDED | HEXED | HAMMERED | TRICKED | TRAPPED | HUNTED | SHATTERED | STAKED"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,http://books.google.com/books/content?id=ak8cCBcJfuIC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
12700306 ,"Tricked (The Iron Druid Chronicles, #4)"                                                                  ,Kevin Hearne             ,"Hearne, Kevin"             ,                                                                                                                                                                                                                                                                            ,9780345534637     ,"=""9780345533623""" ,        4 ,          4.25 ,Del Rey                                     ,Mass Market Paperback ,          341.0 ,        2012.0 ,                   2012.0 ,           ,2023/08/19 ,currently-reading ,currently-reading (#1)     ,currently-reading ,                                                                                                                                                                                                                                                                                                                     ,        ,              ,         2 ,           0 ,2012-04-24    ,      390 ,Fiction                                 ,          4   ,           9 ,"Druid Atticus O’Sullivan hasn’t stayed alive for more than two millennia without a fair bit of Celtic cunning. So when vengeful thunder gods come Norse by Southwest looking for payback, Atticus, with a little help from the Navajo trickster god Coyote, lets them think that they’ve chopped up his body in the Arizona desert. But the mischievous Coyote is not above a little sleight of paw, and Atticus soon finds that he’s been duped into battling bloodthirsty desert shapeshifters called skinwalkers. Just when the Druid thinks he’s got a handle on all the duplicity, betrayal comes from an unlikely source. If Atticus survives this time, he vows he won’t be fooled again. Famous last words. Don’t miss any of Kevin Hearne’s phenomenal Iron Druid Chronicles novels: HOUNDED | HEXED | HAMMERED | TRICKED | TRAPPED | HUNTED | SHATTERED | STAKED"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,http://books.google.com/books/content?id=GKhUELDchHIC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
24662202 ,"Gehämmert (Die Chronik des eisernen Druiden, #3)"                                                         ,Kevin Hearne             ,"Hearne, Kevin"             ,"Alexander Wagner, Friedrich Mader"                                                                                                                                                                                                                                         ,9783608107838     ,"=""9783608939330""" ,        5 ,          4.21 ,Klett-Cotta                                 ,Paperback             ,          366.0 ,        2015.0 ,                   2011.0 ,2015/05/11 ,2015/05/09 ,                  ,                           ,read              ,"Naja, es gibt teilweise interessante Ideen in dem Buch. Aber es wirkt alles billig und durchsichtig gemacht. Wenn ich Kevin Hearne mit Jim Butcher vergleiche und irgendwie werde ich das Gefühl nicht los, das Hearne abgekupfert hat, dann würde ich klar Butcher empfehlen.<br/><br/>Hat mich nicht umgehauen. " ,        ,              ,         1 ,           0 ,2015-03-10    ,      368 ,Fiction                                 ,              ,             ,"Thor, der nordische Donnergott, ist nicht nur ein Aufschneider und Rüpel, sondern viel schlimmer. Er hat viele Leben vernichtet und unzählige Unschuldige auf dem Gewissen. Atticus O'Sullivan, der letzte der Druiden, und sein vampirischer Anwalt Leif unternehmen alles, um diesen nordischen Albtraum ein für alle Mal loszuwerden. Über 2.000 Jahre hat eine Überlebensstrategie für Atticus funktioniert: Halt dich fern von Thor! Aber die Dinge heizen sich auf in seiner neuen Heimat Tempe, Arizona. Russische Dämonenjäger, die sich selbst die ""Hämmer Gottes"" nennen, drehen komplett durch und terrorisieren die Gegend. Doch wer steckt dahinter? Trotz vielfacher Warnung reisen Atticus und Leif zur nordischen Welt Asgard, wo sie sich mit einem Werwolf, einem Zauberer und einer Armee von Eisriesen verbünden. Ein epischer Kampf gegen boshafte Walküren, zornige Götter und – vor allem – gegen den hammerschwingenden Donner-Fiesling selbst beginnt."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,http://books.google.com/books/content?id=LQv3BgAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
